0002,"Male Human NPC, Naked"
0B43,"Green sparkly mace, Ultimate Singularity?"
0B44,"Green sparkly staff, Ultimate Singularity?"
0B45,"Green sparkly spear, Ultimate Singularity?"
0B46,"Green sparkly sword, Ultimate Singularity?"
0B47,"Blue sparkly staff, Singularity?"
0B48,"Blue sparkly xbow, Singularity?"
0B49,"Blue sarkly dagger, Singularity?"
0B4A,"Blue sparkly katar, Singularity?"
0B4B,"Blue sparkly bow, Singularity?"
0B4C,Waterfall splash
0B4D,Waterfall splash
0B4E,"Mosswart - Protector, except no blue aura"
0B4F,"Chandelier, iron, 6 candles"
0B50,"Small human bone, leg?"
0B51,Nothing?
0B52,Nothing?
0B53,Nothing?
0B54,Nothing?
0B55,Parchment with red stamp
0B56,Crude hatchet with obsidian head
0B57,"Small obsidian chunk, rocket shape"
0B58,"Crown, 8 pieces of segmented crystal"
0B59,"Staff shaped like cobra, blue and orange"
0B5A,Dark Sorcerer's Phylactery
0B5B,"Tall wooden triangular column, orange top"
0B5C,Sword with blue trim
0B5D,Painting - olthoi/human slaves
0B5E,Painting - olthoi/human slaves
0B5F,Painting - Welcome to Dereth
0B60,Painting - Studying
0B61,"Portal base (blue, red, green spire)"
0B62,Soul Staff
0B63,Nothing?
0B64,Round Shield?
0B65,tumerok tent?
0B66,tumerok tent 2?
0B67,tumerok tent 3?
0B68,tumerok tent 4?
0B69,Asteliary Orb
0B6A,Imbued Asteliary Orb
0B6B,Locks camera in fpv
0B6C,portal storm
0B6D,none
0B6E,none
0B6F,lightning effect
0B70,skull
0B71,jack o lantern
0B72,sclavus head
0B73,undead head
0B74,doll face
0B75,ursuin head
0B76,flaming skele skull on ground
0B77,pyreal stack on ground
0B78,banderling wand
0B79,drudge wand
0B7A,monster head wands
0B7B,monster head wands
0B7C,monster head wands
0B7D,
0B7E,PP Energy Crystal (blue)
0B7F,none
0B80,green undead necklace
0B81,skull mace
0B82,big green egg
0B83,big green egg
0B84,small green egg
0B85,purple glowing egg
0B86,meat cleaver
0B87,some type of food
0B88,pwylls crown
0B89,veil of darkness
0B8A,kojis beast
0B8B,Writ of Refuge
0B8C,Nothing?
0B8D,Candelabra
0B8E,Arcanum sign
0B8F,"Atlan Axe, Blackfire Smoldering?"
0B90,Atlan Dagger? Blackfire Smoldering?
0B91,"Unknown Atlan Weapon, Blackfire Smoldering?"
0B92,"Atlan Wand, Blackfire Smoldering?"
0B93,"Atlan Spear, Blackfire Smoldering?"
0B94,"Atlan Staff, Blackfire Smoldering?"
0B95,"Atlan Sword, Blackfire Smoldering?"
0B96,"Atlan Axe, Blackfire Smoldering?"
0B97,Atlan Dagger? Blackfire Smoldering?
0B98,Atlan Dagger? Blackfire Smoldering?
0B99,"Unknown Atlan Weapon, Blackfire Smoldering?"
0B9A,"Unknown Atlan Weapon, Blackfire Smoldering?"
0B9B,"Atlan Axe, Blackfire Smoldering?"
0B9C,"Atlan Wand, Blackfire Smoldering?"
0B9D,"Atlan Spear, Blackfire Smoldering?"
0B9E,"Atlan Spear, Blackfire Smoldering?"
0B9F,"Atlan Sword, Blackfire Smoldering?"
0BA0,"Atlan Staff, Blackfire Smoldering?"
0BA1,"Atlan Staff, Blackfire Smoldering?"
0BA2,"Atlan Wand, Blackfire Smoldering?"
0BA3,"Atlan Sword, Blackfire Smoldering?"
0BA4,Nothing?
0BA5,"Large column, slowly spinning human on top"
0BA6,none
0BA7,none
0BA8,none
0BA9,none
0BAA,none
0BAB,injured Olthoi (blue with purple eyes)
0BAC,dead small tree
0BAD,dead medium tree
0BAE,dead small wide tree
0BAF,full bookshelf
0BB0,Bookshelf 3 rows
0BB1,Bookshelf 3 rows
0BB2,Wooden chair
0BB3,Wooden chair
0BB4,Wooden chair
0BB5,Wooden Bench
0BB6,Wooden Bench
0BB7,Broken Stone Fragment
0BB8,Wooden Doors Broken on ground
0BB9,Atlaytl Thrown Weapons Weapon
0BBA,arrows on ground
0BBB,bunny slippers
0BBC,bunny slipper (single)
0BBD,Dead wood golem
0BBE,Dead wood golem
0BBF,safe zone (floating orange marked pillars
0BC0,Sho Paper Bamboo Privacy Wall
0BC1,Holiday Giant Peppermint Candy
0BC2,Holiday Small Peppermint Candy 
0BC3,Holiday Snowman wearing Fez Cap
0BC4,Holiday Snowman wearing Top Hat
0BC5,Holiday Snowman with No Head
0BC6,Holiday Snowman with No Arms
0BC7,Holiday Snowman
0BC8,Fireplace with Burning Flame
0BC9,Holiday Christmas Tree Snow Flocked
0BCA,Holiday Christmas Wreath with Purple Flowers
0BCB,Holiday 2 Headed Snowman
0BCC,Tumerok Spear ?
0BCD,Flames effect Green
0BCE,Swirling Green Cloud Effect with Storm Clouds Lightning
0BCF,none
0BD0,Holiday Christmas Wreath with Purple Flowers
0BD1,Holiday Christmas Tree Snow Flocked Medium Size
0BD2,Sound Effect Cold Wind
0BD3,none
0BD4,Sound Effect Hollow Cavern Wind Gust
0BD5,Sound Effect Spooky Scary Screams
0BD6,Sound Effect Spring Birds Chirping
0BD7,Sign post with Spinning Cube
0BD8,Sho Entry Gate Black
0BD9,Flame Effect on ground
0BDA,Sho Entry Gate Black Broken
0BDB,Stone Tablet Question Mark with Writing 1
0BDC,Stone Tablet Question Mark with Writing 2
0BDD,Stone Tablet Question Mark with Writing 3
0BDE,Huge Stone Fireplace with Burning Flame
0BDF,none
0BE0,Stone Post Pointed Dark Green
0BE1,Stone Post Pointed Bright Green
0BE2,Parchment Paper Red Seal
0BE3,Human Body Part White Male Chest Torso
0BE4,Dead Human Body Standing
0BE5,Dead Human Body on ground
0BE6,Wood Floor Door Hatch
0BE7,Wood Floor Tile
0BE8,Human Body Part
0BE9,Candlestick Burning Wall Hanger
0BEA,"snowman, 2 headed"
0BEB,Stone Fountain
0BEC,"golem, new, ice"
0BED,none
0BEE,human size acid elemental
0BEF,frost elemental (hight up to chest)
0BF0,Primative Hammer
0BF1,Dead Ice Golem
0BF2,"cyrstal, spinning, prismatic"
0BF3,horizontal yellow portal
0BF4,water surface
0BF5,none
0BF6,Cold Air Particle Shroud
0BF7,Acidic Air Particle Shroud
0BF8,Lightning Particle Shroud
0BF9,Human Shaped Cookie Cutter
0BFA,Slice of Bread
0BFB,Two Slices of Bread
0BFC,Gingerbread Man/Drudge/Lugian
0BFD,Top Half of a Brimstone-cap Mushroom
0BFE,Rotating Aun Tumerok with a Spear
0BFF,none
0C00,A lantern/cage with a chunk of magma
0C01,"A lantern/cage with a chunk of magma, as above"
0C02,none
0C03,none
0C04,Helm of the Elements Plume Only
0C05,Helm of the Elements
0C06,2 doors whit small opening in between
0C07,quiddity fluxing energy purple
0C08,quiddity fluxing energy orange
0C09,quiddity fluxing energy blue
0C0A,quiddity fluxing energy yellow
0C0B,quiddity fluxing energy white
0C0C,quiddity fluxing energy red
0C0D,quiddity fluxing energy green
0C0E,Apostate Rift Aggressor (body)
0C0F,quiddity rift (body)
0C10,
0C11,shallow rift (body)
0C12,Vibrant Virindi Energy Cluster
0C13,green doll energy
0C14,orange doll energy
0C15,yellow doll energy
0C16,blue horizontal portal
0C17,blue horizontal portal
0C18,green horizontal portal
0C19,green horizontal portal
0C1A,purpel horizontal portal
0C1B,orange horizontal portal
0C1C,orange horizontal portal
0C1D,red horizontal portal
0C1E,red horizontal portal
0C1F,white horizontal portal
0C20,white horizontal portal
0C21,white uprising quiddity energy (wide)
0C22,red uprising quiddity energy (wide)
0C23,orange uprising quiddity energy (wide)
0C24,yellow uprising quiddity energy (wide)
0C25,green uprising quiddity energy (wide)
0C26,blue uprising quiddity energy (wide)
0C27,white uprising quiddity energy (small)
0C28,red uprising quiddity energy (small)
0C29,orange uprising quiddity energy (small)
0C2A,yellow uprising quiddity energy (small)
0C2B,green uprising quiddity energy (small)
0C2C,blue uprising quiddity energy (small)
0C2D,large grating horizontal
0C2E,large grating vertical
0C2F,"lever, blue crystal, caul dungeons"
0C30,"audio file, moaning off..."
0C31,Tree Stump
0C32,none
0C33,none
0C34,desert wind
0C35,lightning effect block
0C36,none
0C37,audio file crying woman
0C38,audio file crying woman
0C39,Drop point marker
0C3A,Drop point marker
0C3B,Drop point marker
0C3C,Drop point marker
0C3D,Drop point marker
0C3E,Drop point marker
0C3F,Drop point marker
0C40,Drop point marker
0C41,Drop point marker
0C42,Drop point marker
0C43,Drop point marker
0C44,Drop point marker
0C45,Drop point marker
0C46,Drop point marker
0C47,Drop point marker
0C48,Drop point marker
0C49,horizontale purpel portal
0C4A,horizontale blue portal
0C4B,horizontale green portal
0C4C,horizontale orange portal
0C4D,horizontale red portal
0C4E,horizontale white portal
0C4F,horizontale yellow portal
0C50,none
0C51,none
0C52,none
0C53,Paradox-touched Olthoi Slasher
0C54,Tsuric OR Maelstrom
0C55,Theral OR Sirroco
0C56,Double Bookcase
0C57,Single Bookcase
0C58,jaleh's sacrifice stone
0C59,model of Jaleh himself (in underwear)
0C5A,Podium with open book
0C5B,Lilithas Arrow
0C5C,Arrow with red glow at tail
0C5D,Arrow with green glow at tail
0C5E,Lightning Arrow
0C5F,Frost Arrow
0C60,Fire Arrow
0C61,Arrow with black droplets at tail
0C62,Acid Arrow
0C63,Arrowshaft
0C64,Pile of three Arrowshafts
0C65,Small Pine Tree
0C66,none
0C67,Taller Pine Tree
0C68,"Giant Olthoi Mushroom, Tall"
0C69,"Giant Olthoi Mushroom, Wide"
0C6A,"Giant Olthoi Mushroom, Domed"
0C6B,"Giant Olthoi Mushroom, Round"
0C6C,"Emblem of Marriage Shield, Blue"
0C6D,Symbol of Marriage
0C6E,Single Red Wedding Flower
0C6F,Wedding Flower Bouquet without Stems
0C70,Simple Wedding Flower Bouquet without Stems
0C71,flowered wedding cake
0C72,Elegant Flower Bouquet
0C73,Simple Flower Bouquet
0C74,Wedding Cake Figures
0C75,wedding pressure plate
0C76,Greed
0C77,Jealousy
0C78,Anger
0C79,Wedding invitation
0C7A,none
0C7B,Plain Lever
0C7C,Skull Lever
0C7D,a red line whit borders...
0C7E,Doors to Timaru ?
0C7F,Cragstone's Axe
0C80,Thorsten Cragstone's Axe
0C81,Pedestal
0C82,Crystal Vase
0C83,Crystal Vase Small version that comes ontop of pedestal
0C84,Pedestal whit a Vase
0C85,Sunflower
0C86,Pedestal with a Floral Arrangement
0C87,Crystal Vase with Sunflowers (Bouquet)
0C88,Crystal Vase with a Sunflower
0C89,Crystal Vase with Sunflowers (Pair)
0C8A,Crystal Vase with Sunflowers (Trio)
0C8B,Crystal Vase with Sunflowers (Quartet)
0C8C,Pedestal with a Floral Arrangement (Sunflower)
0C8D,"Pedestal with a Floral Arrangement (Sunflowers, Pair)"
0C8E,"Pedestal with a Floral Arrangement (Sunflowers, Trio)"
0C8F,"Pedestal with a Floral Arrangement (Sunflowers, Quartet)"
0C90,none
0C91,Housing Banner (Caerna Dwellings)
0C92,Housing Banner (Illsin Veranda)
0C93,Housing Banner (Alvan Court)
0C94,Housing Banner (Martin Court)
0C95,Housing Banner (Senmai Court)
0C96,Housing Banner (Sanctum Residential Halls)
0C97,Housing Banner (Ruadnar Court)
0C98,Housing Banner (Sorveya Court)
0C99,Housing Banner (Sigil Veranda)
0C9A,Housing Banner (Treyval Veranda)
0C9B,Housing Banner (Sylvan Dwellings)
0C9C,"statue, green with human spinning around on top (Settlement Portals Statue)"
0C9D,"2 doors, half open"
0C9E,none
0C9F,none
0CA0,none
0CA1,
0CA2,none
0CA3,Used in Hotel Swank
0CA4,olthoi egg thing (red/medium)
0CA5,Olthoi egg thing (green/small)
0CA6,Big olthoi pod (orange)
0CA7,none
0CA8,none
0CA9,Isparian wand base?
0CAA,none
0CAB,Small white mist w/ lightning
0CAC,Small white mist w/ lightning
0CAD,Small green mist w/ fire
0CAE,Small green mist w/ fire
0CAF,Copper Bolt with Nut?
0CB0,
0CB1,Gear...
0CB2,Small Mechanical Spring
0CB3,Housing Banner (Allain Court)
0CB4,Housing Banner (Autumn Moon Gardens)
0CB5,Housing Banner (White Lotus Gate)
0CB6,Housing Banner (Trellyn Gardens)
0CB7,Housing Banner (Endara Gate)
0CB8,Housing Banner (Syrah Dwellings)
0CB9,Housing Banner (Vindalan Dwellings)
0CBA,Housing Banner (Forsythian Gardens)
0CBB,Housing Banner (Maru Veranda)
0CBC,Housing Banner (Sorac Gate)
0CBD,Housing Banner (Hasina Gardens)
0CBE,Housing Banner (Alphus Court)
0CBF,Housing Banner (Ivory Gate)
0CC0,Housing Banner (Heartland Yard)
0CC1,Housing Banner (Gajin Dwellings)
0CC2,Housing Banner (Vesper Gate)
0CC3,Housing Banner (Mellas Court)
0CC4,Housing Banner (Larkspur Gardens)
0CC5,Housing Banner (Winthur Gate)
0CC6,Housing Banner (Oriel Residential Halls)
0CC7,Housing Banner (Atrium Residential Halls)
0CC8,Housing Banner (Valorya Gate)
0CC9,Small Brown Statue Pedestal
0CCA,big black cobwebs
0CCB,big black cobwebs
0CCC,Big black cobwebs
0CCD,Big black cobwebs
0CCE,Big black cobwebs
0CCF,not sure...
0CD0,Auroch in a Web Cocoon
0CD1,White rock
0CD2,Auroch bull head
0CD3,skeleton hand
0CD4,skeleton hand
0CD5,skeleton torso
0CD6,skeleton ribs
0CD7,Olthoi head (blue)
0CD8,Olthoi body (blue)
0CD9,Olthoi tail (blue)
0CDA,White rock
0CDB,Green flag
0CDC,Nothing?
0CDD,Nothing?
0CDE,Nothing?
0CDF,Nothing?
0CE0,Nothing?
0CE1,Isparian Bow (Base)
0CE2,Isparian Crossbow (Base)
0CE3,Isparian Wand (Base)
0CE4,Isparian Dagger (Base)
0CE5,
0CE6,
0CE7,
0CE8,
0CE9,
0CEA,
0CEB,
0CEC,
0CED,
0CEE,
0CEF,
0CF0,
0CF1,Isparian atlan
0CF2,
0CF3,
0CF4,
0CF5,
0CF6,
0CF7,
0CF8,
0CF9,
0CFA,
0CFB,
0CFC,
0CFD,
0CFE,
0CFF,
0D00,
0D01,Isparian bow
0D02,Isparian xbow
0D03,
0D04,
0D05,
0D06,Isparian xbow
0D07,Isparian xbow
0D08,Isparian xbow
0D09,Isparian xbow
0D0A,Isparian xbow
0D0B,Isparian xbow
0D0C,Isparian xbow
0D0D,Isparian xbow
0D0E,Isparian xbow
0D0F,Isparian xbow
0D10,Isparian xbow
0D11,Isparian xbow
0D12,Isparian xbow
0D13,Nether-attuned isparian wand
0D14,Isparian wand
0D15,Frost Ispariand wand
0D16,Isparian wand
0D17,Acid Isparian wand
0D18,Acid Isparian wand (no animation)
0D19,Isparian wand (gold)
0D1A,Lightning Isparian wand
0D1B,Lightning Isparian wand (no animation)
0D1C,Fire Isparian wand 
0D1D,Fire Isparian wand (no animation)
0D1E,Frost Ispariand wand
0D1F,Isparian wand
0D20,Isparian atlan
0D21,Isparian atlan
0D22,Isparian atlan
0D23,Isparian atlan
0D24,Isparian atlan
0D25,Isparian atlan
0D26,Isparian atlan
0D27,Isparian atlan
0D28,Isparian atlan
0D29,Isparian atlan
0D2A,Isparian atlan
0D2B,Isparian atlan
0D2C,Isparian atlan
0D2D,Isparian atlan
0D2E,Isparian atlan
0D2F,Isparian UA
0D30,Isparian UA
0D31,INether-attuned sparian xbow
0D32,INether-attuned sparian xbow
0D33,INether-attuned sparian xbow
0D34,Large black cobwebs
0D35,Lava kiln
0D36,Rope gear thing?
0D37,ice cream cone?
0D38,none
0D39,Bronze Coil from a Statue
0D3A,seeds?
0D3B,gear?
0D3C,gear?
0D3D,small cup?
0D3E,small cup?
0D3F,Loom
0D40,Blue field of energy
0D41,Male human w/ hands at side
0D42,Horn of....
0D43,Horn of....
0D44,Horn of....
0D45,Horn of Vigilance
0D46,Horn of Vigilance
0D47,Horn of Vigilance
0D48,none
0D49,Horn of Vigilance
0D4A,Upper Pipe Three
0D4B,Upper Pipe Two
0D4C,Upper Pipe One
0D4D,Grievver Tibia
0D4E,Sharp Tusker Slave Tusk
0D4F,ant hill?
0D50,none
0D51,purple aura moving across ground
0D52,red aura moving across ground
0D53,Renegade's Token
0D54,gigantic king/vr tatue
0D55,pedastal wak spot
0D56,"asheron, blue robe, white aura, acid hands"
0D57,"asheron, blue robe, white aura, acid hands"
0D58,Various Sounds?
0D59,Golem Sound?
0D5A,Nothing?
0D5B,Arcane Pedestal
0D5C,small tool
0D5D,"human, green acid aura"
0D5E,"human, red fire aura"
0D5F,"human, white frost aura"
0D60,"human, purple lightning aura"
0D61,thrown weapon
0D62,"human, green acid aura,laying down"
0D63,"human, red fire aura,laying down"
0D64,"human, white frost aura,laying down"
0D65,"human, purple lightning aura,laying down"
0D66,black obsidian pillar
0D67,black obsidian pillar
0D68,black obsidian pillar
0D69,
0D6A,
0D6B,
0D6C,
0D6D,
0D6E,
0D6F,
0D70,"pillar, colo style"
0D71,"pillar, colo style"
0D72,"pillar, colo style, half"
0D73,"pillar, colo style"
0D74,gem
0D75,"staff, casting, new model"
0D76,Covenant Shield
0D77,prismatic crystals
0D78,
0D79,http://asheron.wikia.com/wiki/Crystal_of_Tumult
0D7A,
0D7B,
0D7C,Rock?
0D7D,
0D7E,Swirling Acid Effect
0D7F,Swirling Flame Effect
0D80,Swirling Frost  Effect
0D81,Swirling Lightning Effect
0D82,
0D83,"statue, vr, leaning"
0D84,"statue, vr, leaning"
0D85,"statue, vr, leaning"
0D86,"statue, empyrean head"
0D87,Housing Banner - Jade Gate
0D88,Housing Banner - Pavson Place
0D89,Housing Banner - Crescent Moon Veranda
0D8A,Housing Banner - Trothyr Hollow
0D8B,Housing Banner - Celcynd Grotto
0D8C,Housing Banner (Xao Wu Gardens)
0D8D,Housing Banner - Haven Residential Halls
0D8E,Housing Banner - Cedraic Court
0D8F,Housing Banner - Jojii Gardens
0D90,Housing Banner (Dulok Court)
0D91,Housing Banner (Ben Ten Lodge)
0D92,Housing Banner (Ispar Yard)
0D93,Big green rock
0D94,Moss Covered Rock
0D95,Moss Covered Rock
0D96,Moss Covered Rock
0D97,Moss Covered Rock
0D98,Moss Covered Rock
0D99,Moss Covered Rock
0D9A,Moss Covered Rock
0D9B,Large green monolith
0D9C,Really really huge green rock
0D9D,Really huge green rock
0D9E,Huge green rock
0D9F,Large green rock
0DA0,Green rock
0DA1,Medium green rock
0DA2,Small green rock
0DA3,Large green rock
0DA4,Tiny green rock
0DA5,Green pillar
0DA6,Gaerlan's Sword
0DA7,Harbinger (Easy)?
0DA8,Lava Square
0DA9,Acid Square
0DAA,"Staircase, East to North (2 storey L-shaped)"
0DAB,"Staircase, East (3 steps)"
0DAC,"Staircase, East (7 steps)"
0DAD,"Staircase, East (11 steps)"
0DAE,"Staircase, East (6 steps and platform at top)"
0DAF,"Staircase, North (8 steps)"
0DB0,"Staircase, East (7 steps and platform at top)"
0DB1,"Staircase, 90 degrees to floor"
0DB2,"Staircase Platform, 90 degrees"
0DB3,Staircase Platform
0DB4,Levitating Candlestick
0DB5,Levitating Candlestick
0DB6,Levitating Candlestick
0DB7,Levitating Candlestick
0DB8,Levitating Candlestick
0DB9,Levitating Candlestick
0DBA,Levitating Candlestick
0DBB,"attackable door, half open"
0DBC,martine's mask
0DBD,Large Ice Symbol (Gaerlan)
0DBE,Small Ice Symbol (Gaerlan)
0DBF,Small Ice Symbol (Gaerlan)
0DC0,Large Fire Symbol (Gaerlan)
0DC1,Small Fire Symbol (Gaerlan)
0DC2,Large Acid Symbol (Gaerlan)
0DC3,Large Lightning Symbol (Gaerlan)
0DC4,Small Lightning Symbol (Gaerlan?)
0DC5,Habraeloi (Atlatl)
0DC6,Shauraloi (Finesse Axe)
0DC7,Lautaloi (Bow)
0DC8,Gauraloi (Heavy Cestus)
0DC9,Sacraloi (Light Dagger)
0DCA,Dauloi (Finesse Mace)
0DCB,Taulandoi (War Wand)
0DCC,Dauloirae (Shield)
0DCD,Tauraloi (Light Spear)
0DCE,Falauloi (Finesse Staff)
0DCF,Raudaloi (Heavy Sword)
0DD0,Saulandoi (Life Wand)
0DD1,Palauloi (Crossbow)
0DD2,"Reinforced Wooden Doors, Partially Open"
0DD3,Seal Fragment (Blue)
0DD4,Seal Fragment (Blue-Orange)
0DD5,Ornate Seal
0DD6,Seal Fragment (Orange)
0DD7,Seal Fragment (Green)
0DD8,Seal Fragment (Green-Purple)
0DD9,Seal Fragment (Purple)
0DDA,Gaerlan's Phylacteric Prison (Blue Alien-like Tower)
0DDB,
0DDC,Rolling Ball of Death (Red)
0DDD,Rolling Ball of Death (Red)
0DDE,Rolling Ball of Death (Red)
0DDF,Rolling Ball of Death (Red)
0DE0,
0DE1,Pile of Three Poles
0DE2,Pile of Four Poles
0DE3,Three-Pole Scaffold with Winch
0DE4,
0DE5,Dark Stone with Shoes in front of it
0DE6,Dark Stone Brick
0DE7,Brown Stone Brick
0DE8,Pillow
0DE9,Pillow
0DEA,Pillow
0DEB,Circlet
0DEC,
0DED,
0DEE,
0DEF,Sclavus Torso
0DF0,Sclavus Torso with Right Arm
0DF1,Sclavus Torso with Arms
0DF2,Sclavus Torso with Arms and Right Leg
0DF3,Sclavus Guise
0DF4,Skeleton Torso
0DF5,Skeleton Torso with Right Arm
0DF6,Skeleton Torso with Arms
0DF7,Skeleton Torso with Arms and Right Leg
0DF8,Skeletal Guise
0DF9,Undead Torso
0DFA,Undead Torso with Right Arm
0DFB,Undead Torso with Arms
0DFC,Undead Torso with Arms and Right Leg
0DFD,Undead Guise
0DFE,human male torso
0DFF,human male torso w/ right arm
0E00,human male torso w/ both arms
0E01,human male standing w/o head
0E02,human male torso with zombie head
0E03,human male torso w/ right arm and zombie head
0E04,human male torso w/ both arms and zombie head
0E05,human male standing w/ zombie head and w/o left leg
0E06,human male standing w/ zombie head reverse facing
0E07,human male standing w/o left leg right facing
0E08,Banderling
0E09,Olthoi Eviscerator Head
0E0A,Banderling Head
0E0B,Harbinger Arm?
0E0C,Human Arm
0E0D,Sclavus Arm
0E0E,Skeleton Arm
0E0F,Zombie Arm
0E10,Human Leg
0E11,Sclavus Leg
0E12,Skeleton Leg
0E13,Zombie Leg
0E14,
0E15,Invisible?
0E16,"Wooden Torch Wall Prop, Unlit"
0E17,evil couch
0E18,skeleton skull
0E19,housing items flying around in a cuircle
0E1A,painting
0E1B,
0E1C,"thrown weapon, hollow"
0E1D,"arrow, hollow"
0E1E,"quarrel, hollow"
0E1F,Housing Sign
0E20,Housing Sign
0E21,Housing Sign
0E22,Housing Sign
0E23,Housing Sign
0E24,Housing Sign
0E25,Housing Sign
0E26,Housing Sign
0E27,Housing Sign
0E28,Housing Sign
0E29,Housing Sign
0E2A,Housing Sign
0E2B,Housing Sign
0E2C,Housing Sign
0E2D,Housing Sign
0E2E,Housing Sign
0E2F,"staff, melee"
0E30,"staff, melee"
0E31,"staff, melee"
0E32,"staff, melee fire"
0E33,"staff, melee, hollow"
0E34,"staff, melee, lightning"
0E35,"staff, melee frost"
0E36,"staff, melee, acid"
0E37,"staff, melee fire"
0E38,"staff, melee, acid"
0E39,"staff, melee frost"
0E3A,"staff, melee, hollow"
0E3B,"staff, melee, lightning"
0E3C,"staff, melee fire"
0E3D,"staff, melee, acid"
0E3E,"staff, melee frost"
0E3F,"staff, melee, lightning"
0E40,"staff, melee, hollow"
0E41,Pwyll's Guard
0E42,Shroud of Night
0E43,Koji's Fiend
0E44,Gaerlan Token
0E45,olthoi evisc head?
0E46,red rug?
0E47,floating blue gem... NPK altar like?
0E48,floating blue gem... NPK altar like?
0E49,dagger
0E4A,dagger lightning
0E4B,dagger frost
0E4C,dagger acid
0E4D,dagger fire
0E4E,"pillar, wood?"
0E4F,"half open chest, wooden planks around it"
0E50,bamboo?
0E51,bamboo?
0E52,bamboo?
0E53,bamboo?
0E54,bamboo?
0E55,bamboo?
0E56,rope bridge piece?
0E57,none?
0E58,rope bridge piece?
0E59,tropical drink
0E5A,bunch of nanners
0E5B,rope bridge piece?
0E5C,tusker poo with flys
0E5D,tusker poo with flys
0E5E,"invisible something, white star aura when you move with it"
0E5F,"invisible something, lightning when you move with it"
0E60,"invisible something, frost when you move with it"
0E61,"invisible something, fire when you move with it"
0E62,"invisible something, acid when you move with it"
0E63,skull banner?
0E64,"statue, temples of enlight/forget"
0E65,
0E66,Chittick
0E67,tusker token
0E68,"lava, floor, moving"
0E69,tusker sign
0E6A,tusker poo
0E6B,tusker poo
0E6C,tusker shrine
0E6D,tusker island shirt
0E6E,lava tile
0E6F,empty?
0E70,black rabbit
0E71,"tree, tusker island"
0E72,"tree, tusker island"
0E73,
0E74,present gift box
0E75,snow globe on stand
0E76,
0E77,Silver Pole?
0E78,Coconut Tusker
0E79,Mowen Udaun
0E7A,Bobo
0E7B,Tusker Painting (Legend of the Tusker King)
0E7C,Tusker King Throne
0E7D,Log Table
0E7E,Log Chair
0E7F,Fabled Tusker Paw (1 Finger)
0E80,Fabled Tusker Paw (2 Fingers)
0E81,Fabled Tusker Paw (3 Fingers)
0E82,
0E83,
0E84,
0E85,
0E86,
0E87,
0E88,
0E89,
0E8A,
0E8B,
0E8C,
0E8D,
0E8E,
0E8F,
0E90,
0E91,
0E92,
0E93,
0E94,
0E95,
0E96,
0E97,
0E98,
0E99,
0E9A,
0E9B,
0E9C,
0E9D,
0E9E,
0E9F,
0EA0,
0EA1,
0EA2,
0EA3,translucent diagonal board?
0EA4,spear or atlatl?
0EA5,spear or atlatl mastery stone?
0EA6,translucent partial arch
0EA7,green dagger?
0EA8,long thin sword
0EA9,
0EAA,Skeletal Atlatl
0EAB,acid mouth cow
0EAC,yellow bell on a pole
0EAD,lugian lifestone
0EAE,tusker fist
0EAF,quiddity atlatl
0EB0,quiddity atlatl
0EB1,singularity atlatl
0EB2,light blue crystal
0EB3,dart shafts
0EB4,dart shafts
0EB5,dart
0EB6,Scored Shard (Green Crystal Trophy)
0EB7,Brilliant Shard (Dark Grey Crystal Trophy)
0EB8,Seared Shard (Red Crystal Trophy)
0EB9,Hardened Shard (Yellow Crystal Trophy)
0EBA,Charged Shard (Purple Crystal Trophy)
0EBB,Plated Shard (Silver Crystal Trophy)
0EBC,Solid Shard (White Crystal Trophy)
0EBD,assault atlatl
0EBE,assault bow
0EBF,assault UA?
0EC0,assault dagger
0EC1,assault sword
0EC2,assault crossbow
0EC3,assault orb
0EC4,pile of gold
0EC5,
0EC6,
0EC7,
0EC8,
0EC9,frothing stein
0ECA,lightning dart
0ECB,acid dart
0ECC,frost dart
0ECD,flaming dart
0ECE,black rat
0ECF,sclavus boots?
0ED0,broom handle?
0ED1,blue glowy olthoi axe
0ED2,purple glowy olthoi axe?
0ED3,
0ED4,white and purple wand
0ED5,translucent rug standing up
0ED6,translucent barrel laying down
0ED7,training wand?
0ED8,
0ED9,
0EDA,
0EDB,
0EDC,
0EDD,
0EDE,
0EDF,Blue Orb (Hieromancer's Halls)
0EE0,"white and red wand, black crystal"
0EE1,
0EE2,silver cup
0EE3,silver goblet laying down
0EE4,silver mug laying down
0EE5,stein laying down
0EE6,stein
0EE7,red rug
0EE8,smoking object
0EE9,wood board?
0EEA,wood board?
0EEB,big double sided axe
0EEC,big hammer
0EED,straight up purple book
0EEE,straight up book
0EEF,diagonal purple book
0EF0,diagonal book
0EF1,smoking wand
0EF2,niffis pearl or drudge orb
0EF3,
0EF4,
0EF5,Sword of Frozen Fury
0EF6,purple/blue portal?
0EF7,Sword of Frozen Fury Holder/Altar
0EF8,Dagger of Frozen Fury
0EF9,Scepter of Thunderous Might
0EFA,Auroric Runic Helm
0EFB,Crescent Moons
0EFC,portal platform (asheron's castle)
0EFD,3/4 of a broken empyrean portalbase
0EFE,book shelf
0EFF,none
0F00,none
0F01,wooden table
0F02,Half a wooden table? (See 0F25)
0F03,Golden Treasure
0F04,Gambling Token??? Probably not 
0F05,Acid Rock w/ Flies ???
0F06,Tree
0F07,Unknown Black object 
0F08,Unknown Tentacle Object 
0F09,Unkown Blue Object
